Selected,Mass,SemiMajorAxis,StarMass,System,Planet,PlanetSolarMass,q,RE_Median,RE_upper,RE_lower,s_Median,s_upper,s_lower
True,0.26,0.0289,0.12,Alpha Centauri,Proxima Centauri d,7.8e-07,6.5000000000000004e-06,181244974344.84018,207855125121.2933,151855935445.71448,0.023853738013793983,0.020799920770852957,0.02847020843570615
True,0.77,0.0293,0.089,TRAPPIST-1,TRAPPIST-1 e,2.31e-06,2.595505617977528e-05,156088300985.59326,179004981785.60507,130778439755.25545,0.028081599579615,0.02448652056281675,0.03351629806520698
True,1.7,0.035,0.12,GJ 1061,GJ 1061 c,5.1e-06,4.25e-05,181244974344.84018,207855125121.2933,151855935445.71448,0.028888610051307596,0.02519021546643092,0.034479491185111254
True,0.93,0.0385,0.089,TRAPPIST-1,TRAPPIST-1 f,2.7900000000000004e-06,3.1348314606741577e-05,156088300985.59326,179004981785.60507,130778439755.25545,0.03689903016434053,0.03217512087605614,0.0440401868774904
True,25.3,0.0398,0.12,LP 890-9,LP 890-9 c,7.59e-05,0.0006325,181244974344.84018,207855125121.2933,151855935445.71448,0.03285047657262978,0.028644873587541447,0.03920810711906937
True,1.13,0.04,0.12,Alpha Centauri,Alpha Centauri B b,3.3899999999999997e-06,2.825e-05,181244974344.84018,207855125121.2933,151855935445.71448,0.033015554344351536,0.02878881767592105,0.03940513278298429
True,1.15,0.0469,0.089,TRAPPIST-1,TRAPPIST-1 g,3.45e-06,3.876404494382023e-05,156088300985.59326,179004981785.60507,130778439755.25545,0.044949727654742096,0.03919514724901384,0.053648954923488305
True,1.4,0.0496,0.168,Ross 128,Ross 128 b,4.2e-06,2.4999999999999994e-05,214451945701.98352,245937500708.7449,179678365926.81436,0.03460001292067307,0.030170429766786164,0.04129623538080485
True,4.0,0.053,0.177,Ross 508,Ross 508 b,1.2e-05,6.779661016949152e-05,220121256515.04242,252439172342.1764,184428392789.41617,0.036019564844346215,0.03140824698123862,0.04299051655086343
True,1.6,0.054,0.12,GJ 1061,GJ 1061 d,4.800000000000001e-06,4.000000000000001e-05,181244974344.84018,207855125121.2933,151855935445.71448,0.04457099836487457,0.038864903862493416,0.05319692925702879
True,1.3,0.0672,0.167,Wolf 1069,Wolf 1069 b,3.9e-06,2.3353293413173652e-05,213812743249.76355,245204451386.0573,179142810738.7495,0.04701757898715516,0.040998266904944576,0.056117002422534715
True,3.02,0.083,0.23,TOI-715,TOI-715 b,9.06e-06,3.9391304347826085e-05,250922304821.1373,287762390393.7262,210235022849.85312,0.04948384065181194,0.04314879137181802,0.0590605655491678
True,4.3,0.0843,0.25,Wolf 1061,Wolf 1061 c,1.29e-05,5.16e-05,261604586818.15073,300013031103.0551,219185163019.0642,0.04820663260684671,0.04203509480452066,0.05753617640584388
True,2.9,0.0911,0.29,GJ 273,GJ 273 b,8.7e-06,3e-05,281756762863.61365,323123923355.58435,236069645227.26074,0.04836916646656065,0.04217682065908801,0.057730165828434155
True,11.1,0.111,0.35,GJ 422,GJ 422 b,3.33e-05,9.514285714285716e-05,309534721448.19794,354980205595.0441,259343382338.49588,0.05364610335199305,0.046778190434605564,0.06402836080917257
True,268.0,0.136,0.37,Gliese 876,Gliese 876 c,0.000804,0.002172972972972973,318255715690.319,364981604838.97156,266650259361.93417,0.06392743387589052,0.055743278430137135,0.07629946158350327
True,7.4,0.137,0.44,TOI-2095,TOI-2095 c,2.22e-05,5.045454545454546e-05,347057703164.70404,398012262554.4233,290781978138.84717,0.059053202438770956,0.05149305870976205,0.07048190859040766
True,5.5,0.142,0.29,HN Lib,HN Lib b,1.65e-05,5.689655172413794e-05,281756762863.61365,323123923355.58435,236069645227.26074,0.07539430996983108,0.06574213538518657,0.08998554937033643
True,8.0,0.143,0.36,EPIC 201912552,EPIC 201912552 b,2.4e-05,6.666666666666667e-05,313925504181.7809,360015637323.66614,263022195622.87704,0.06814500259765796,0.05942090309456755,0.08133326637045941
True,24.2,0.1434,0.42,Gliese 3293,Gliese 3293 b,7.26e-05,0.00017285714285714287,339078298536.5123,388861332144.4544,284096441292.96216,0.06326648866509445,0.055166949134892805,0.07551060208043234
True,3.1,0.146,0.31,Gliese 581,Gliese 581 g,9.3e-06,3.0000000000000004e-05,291310539127.79443,334080372592.041,244074267903.7269,0.0749758217153491,0.0653772230795461,0.08948607009266067
True,5.0,0.162,0.45,Gliese 832,Gliese 832 c,1.5e-05,3.3333333333333335e-05,350979383610.6783,402509719009.31396,294067754502.00037,0.06904909375639888,0.06020925016455572,0.08241232843273866
True,17.2,0.163,0.4,GJ 687,GJ 687 b,5.16e-05,0.000129,330906536277.04694,379489802406.6369,277249737782.22046,0.07368970774147651,0.06425576074339705,0.0879510514349118
True,5.2,0.178,0.48,GJ 433,GJ 433 d,1.56e-05,3.2500000000000004e-05,362489948689.68036,415710250242.5866,303711870891.42896,0.07345960841618215,0.06405511932892434,0.08767642044214004
True,8.6,0.1939,0.42,Gliese 3293,Gliese 3293 c,2.58e-05,6.142857142857143e-05,339078298536.5123,388861332144.4544,284096441292.96216,0.08554652825775323,0.07459464042716676,0.10210255051182587
