# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Oct 13 08:13:58 2025
#
# User preference: *
#
# CONSTRAINT:  where (sy_diststr not null
# CONSTRAINT:  and ml_distsstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_dist:        Lens Distance [pc]
# COLUMN ml_dists:       Source Distance [pc]
#
pl_name,sy_dist,ml_dists
OGLE-2008-BLG-092L b,8100.00000000,9700.00000000
OGLE-2018-BLG-0596L b,5650.00000000,8580.00000000
OGLE-2014-BLG-0319L b,7730.00000000,10300.00000000
OGLE-2012-BLG-0358L b,1730.00000000,7600.00000000
OGLE-2012-BLG-0358L b,1790.00000000,7600.00000000
MOA-2010-BLG-353L b,6430.00000000,8000.00000000
MOA-2010-BLG-117L b,3500.00000000,6900.00000000
MOA-2011-BLG-291L b,8800.00000000,10700.00000000
OGLE-2018-BLG-0740L b,7200.00000000,8000.00000000
OGLE-2018-BLG-1011L b,7100.00000000,8000.00000000
OGLE-2006-BLG-109L b,1490.00000000,8000.00000000
OGLE-2017-BLG-0406L b,5200.00000000,8800.00000000
MOA-2019-BLG-008L b,2200.00000000,6700.00000000
MOA-2019-BLG-008L b,2600.00000000,8000.00000000
OGLE-2006-BLG-284L A b,4000.00000000,8600.00000000
Gaia22dkvL b,1580.00000000,3820.00000000
Gaia22dkvL b,890.00000000,2430.00000000
Gaia22dkvL b,1040.00000000,4210.00000000
Gaia22dkvL b,980.00000000,3610.00000000
OGLE-2015-BLG-0966L b,2500.00000000,4500.00000000
MOA-2009-BLG-266L b,3040.00000000,8800.00000000
OGLE-2015-BLG-0966L b,3300.00000000,8000.00000000
KMT-2018-BLG-1292L b,3460.00000000,9000.00000000
MOA-2019-BLG-008L b,2700.00000000,8500.00000000
OGLE-2018-BLG-1011L c,7100.00000000,8000.00000000
MOA-2011-BLG-291L b,8600.00000000,9700.00000000
MOA-2019-BLG-008L b,3500.00000000,8000.00000000
OGLE-2015-BLG-0966L b,2500.00000000,4500.00000000
OGLE-2015-BLG-0966L b,3300.00000000,8000.00000000
MOA-2019-BLG-008L b,2600.00000000,8000.00000000
OGLE-2018-BLG-1011L b,7100.00000000,8000.00000000
MOA-bin-1L b,5100.00000000,8000.00000000
MOA-2019-BLG-008L b,2600.00000000,8000.00000000
KMT-2019-BLG-0842L b,3320.00000000,8170.00000000
OGLE-2003-BLG-235L b,5800.00000000,8800.00000000
MOA-2011-BLG-293L b,7720.00000000,8350.00000000
MOA-2019-BLG-008L b,2600.00000000,8000.00000000
TCP J05074264+2447555 b,380.00000000,750.00000000
MOA-2019-BLG-008L b,2300.00000000,8000.00000000
OGLE-2015-BLG-0966L b,2500.00000000,4500.00000000
OGLE-2018-BLG-1011L b,7100.00000000,8000.00000000
MOA-2009-BLG-319L b,7050.00000000,8250.00000000
OGLE-2012-BLG-0563L b,1300.00000000,9100.00000000
OGLE-2015-BLG-0966L b,3300.00000000,8000.00000000
OGLE-2016-BLG-1067L b,3780.00000000,7660.00000000
OGLE-2017-BLG-0482L b,5800.00000000,8100.00000000
OGLE-2012-BLG-0563L b,1300.00000000,9100.00000000
MOA-2010-BLG-117L b,3500.00000000,6900.00000000
KMT-2019-BLG-1953L b,7040.00000000,8000.00000000
OGLE-2013-BLG-0911L b,3220.00000000,8000.00000000
OGLE-2018-BLG-1011L c,7100.00000000,8000.00000000
OGLE-2018-BLG-1011L c,7100.00000000,8000.00000000
MOA-2011-BLG-291L b,7000.00000000,7900.00000000
OGLE-2018-BLG-0740L b,3200.00000000,8000.00000000
OGLE-2015-BLG-0966L b,2500.00000000,4500.00000000
MOA-2008-BLG-310L b,6000.00000000,8000.00000000
OGLE-2018-BLG-0596L b,6110.00000000,8670.00000000
OGLE-2018-BLG-1011L c,7100.00000000,8000.00000000
OGLE-2016-BLG-1190L b,6770.00000000,8700.00000000
OGLE-2006-BLG-109L c,1490.00000000,8000.00000000
K2-2016-BLG-0005L b,5260.00000000,8000.00000000
MOA-2020-BLG-208L b,7490.00000000,9150.00000000
TCP J05074264+2447555 b,380.00000000,750.00000000
MOA-2010-BLG-328L b,810.00000000,8000.00000000
K2-2016-BLG-0005L b,5200.00000000,8000.00000000
OGLE-2016-BLG-1067L b,3680.00000000,7660.00000000
OGLE-2018-BLG-0677L b,7580.00000000,8370.00000000
TCP J05074264+2447555 b,505.00000000,800.00000000
KMT-2018-BLG-0029L b,3760.00000000,8200.00000000
OGLE-2015-BLG-0966L b,2500.00000000,4500.00000000
OGLE-2005-BLG-071L b,3200.00000000,8600.00000000
Gaia22dkvL b,1270.00000000,2120.00000000
OGLE-2013-BLG-0911L b,3150.00000000,8000.00000000
MOA-2019-BLG-008L b,2400.00000000,8300.00000000
OGLE-2015-BLG-0966L b,3300.00000000,8000.00000000
OGLE-2012-BLG-0838L b,6320.00000000,8170.00000000
